team_id,Player,Player Salary,Age_bat,Team_bat,Positions,Total_Points
6,Yuli Gurriel,7.0,35.0,Astros,BE,532.0
6,Marcus Semien,9.0,28.0,Athletics,BE,613.0
6,Raisel Iglesias,2.0,29.0,Reds,BE,212.0
6,Jose Leclerc,1.0,25.0,Rangers,BE,163.0
6,Ian Desmond,3.0,33.0,Rockies,BE,299.0
6,Mitch Garver,1.0,28.0,Twins,BE,349.0
6,David Fletcher,2.0,25.0,Angels,,371.0
6,Mike Minor,3.0,31.0,Rangers,,433.0
7,Anthony Rizzo,18.0,29.0,Cubs,1B,494.0
7,Brandon Lowe,6.0,24.0,Rays,2B,196.0
7,Anthony Rendon,6.0,29.0,Nationals,3B,643.0
7,Amed Rosario,6.0,23.0,Mets,SS,361.0
7,Joc Pederson,1.0,27.0,Dodgers,OF,412.0
7,Jake Bauers,6.0,23.0,Indians,OF,181.0
7,Jason Heyward,6.0,29.0,Cubs,OF,370.0
7,George Springer,43.0,29.0,Astros,UTIL,512.0
7,Lance Lynn,1.0,32.0,Rangers,SP,461.0
7,Tanner Roark,1.0,32.0,- - -,SP,252.0
7,Jon Lester,6.0,35.0,Cubs,SP,275.0
7,Alex Young,1.0,25.0,Diamondbacks,SP,149.0
7,Chris Bassitt,1.0,30.0,Athletics,SP,289.0
7,Brad Hand,6.0,29.0,Indians,RP,273.0
7,Ken Giles,6.0,28.0,Blue Jays,RP,268.0
7,Homer Bailey,1.0,33.0,- - -,BE,280.0
7,Hansel Robles,1.0,28.0,Angels,BE,278.0
7,Rich Hill,15.0,39.0,Dodgers,BE,159.0
7,Anthony Santander,1.0,24.0,Orioles,BE,258.0
7,Tommy La Stella,1.0,30.0,Angels,BE,259.0
7,Zach Plesac,1.0,24.0,Indians,BE,216.0
7,Justin Upton,20.0,31.0,Angels,BE,143.0
7,David Dahl,10.0,25.0,Rockies,BE,272.0
7,Jonathan Schoop,1.0,27.0,Twins,BE,276.0
7,Corey Kluber,1.0,33.0,Indians,,30.0
7,Kevin Newman,1.0,25.0,Pirates,,345.0
7,Daniel Murphy,6.0,34.0,Rockies,DL,317.0
8,Jeff McNeil,1.0,27.0,Mets,2B,436.0
8,Xander Bogaerts,6.0,26.0,Red Sox,SS,592.0
8,Whit Merrifield,1.0,30.0,Royals,OF,460.0
8,Austin Meadows,1.0,24.0,Rays,UTIL,468.0
8,Tyler Glasnow,1.0,25.0,Rays,SP,203.0
8,Matthew Boyd,1.0,28.0,Tigers,SP,371.0
8,Robbie Ray,7.0,27.0,Diamondbacks,SP,355.0
8,Kirby Yates,1.0,32.0,Padres,RP,356.0
8,Archie Bradley,1.0,26.0,Diamondbacks,RP,193.0
8,Shane Bieber,1.0,24.0,Indians,BE,590.0
8,Nick Senzel,6.0,24.0,Reds,BE,219.0
8,Yandy Diaz,1.0,27.0,Rays,BE,240.0
8,Kyle Hendricks,3.0,29.0,Cubs,BE,345.0
8,Zac Gallen,1.0,23.0,- - -,BE,167.0
8,Kyle Tucker,5.0,22.0,Astros,BE,60.0
8,Mitch Keller,6.0,23.0,Pirates,BE,21.0
8,Mike Soroka,10.0,21.0,Braves,BE,395.0
8,Cavan Biggio,1.0,24.0,Blue Jays,,260.0
8,Bryan Reynolds,1.0,24.0,Pirates,DL,356.0
9,Gleyber Torres,6.0,22.0,Yankees,2B,479.0
9,Jose Ramirez,44.0,26.0,Indians,3B,429.0
9,Carlos Correa,21.0,24.0,Astros,SS,263.0
9,Mike Trout,39.0,27.0,Angels,OF,620.0
9,Juan Soto,6.0,20.0,Nationals,OF,575.0
9,Rafael Devers,6.0,22.0,Red Sox,UTIL,603.0
9,Gerrit Cole,6.0,28.0,Astros,SP,733.0
9,Walker Buehler,6.0,24.0,Dodgers,SP,490.0
9,Max Scherzer,61.0,34.0,Nationals,SP,478.0
9,Aaron Sanchez,4.0,26.0,- - -,SP,69.0
9,Roberto Osuna,6.0,24.0,Astros,RP,306.0
9,Yonny Chirinos,1.0,25.0,Rays,BE,287.0
9,Johnny Cueto,1.0,33.0,Giants,BE,15.0
9,Mark Canha,1.0,30.0,Athletics,BE,364.0
9,Starlin Castro,1.0,29.0,Marlins,BE,394.0
9,Kolten Wong,1.0,28.0,Cardinals,BE,333.0
9,Emilio Pagan,1.0,28.0,Rays,BE,241.0
10,Edwin Encarnacion,16.0,36.0,- - -,1B,412.0
10,Adam Frazier,7.0,27.0,Pirates,2B,350.0
10,Kris Bryant,1.0,27.0,Cubs,3B,464.0
10,Jorge Polanco,5.0,25.0,Twins,SS,483.0
10,Byron Buxton,3.0,25.0,Twins,OF,216.0
10,Mark Trumbo,1.0,33.0,Orioles,OF,9.0
10,Max Kepler,1.0,26.0,Twins,OF,489.0
10,Kyle Schwarber,10.0,26.0,Cubs,UTIL,449.0
10,Madison Bumgarner,1.0,29.0,Giants,SP,399.0
10,Zack Wheeler,1.0,29.0,Mets,SP,392.0
10,Chris Archer,27.0,30.0,Pirates,SP,153.0
10,Yusei Kikuchi,14.0,28.0,Mariners,SP,146.0
10,Domingo German,7.0,26.0,Yankees,SP,348.0
10,Craig Kimbrel,1.0,31.0,Cubs,RP,41.0
10,Blake Treinen,1.0,31.0,Athletics,RP,110.0
10,Jason Kipnis,2.0,32.0,Indians,BE,298.0
10,Dylan Bundy,15.0,26.0,Orioles,BE,216.0
10,Jakob Junis,11.0,26.0,Royals,BE,200.0
10,Kyle Gibson,1.0,31.0,Twins,BE,250.0
10,Kendrys Morales,3.0,36.0,- - -,BE,75.0
10,Kendrys Morales,3.0,36.0,Athletics,BE,-3.0
10,Kevin Pillar,1.0,30.0,- - -,BE,419.0
10,Josh Bell,3.0,26.0,Pirates,BE,552.0
10,Michael Wacha,1.0,27.0,Cardinals,BE,139.0
10,Luis Urias,1.0,22.0,Padres,BE,97.0
11,Trea Turner,10.0,26.0,Nationals,SS,412.0
11,Bryce Harper,4.0,26.0,Phillies,OF,518.0
11,Tommy Pham,14.0,31.0,Rays,OF,425.0
11,Khris Davis,10.0,31.0,Athletics,UTIL,270.0
11,Yu Darvish,10.0,32.0,Cubs,SP,370.0
11,Luke Weaver,1.0,25.0,Diamondbacks,SP,155.0
11,James Paxton,9.0,30.0,Yankees,SP,359.0
11,Dinelson Lamet,1.0,26.0,Padres,SP,144.0
11,Alex Colome,1.0,30.0,White Sox,RP,251.0
11,Michael Chavis,1.0,23.0,Red Sox,BE,201.0
11,Sandy Alcantara,1.0,23.0,Marlins,BE,270.0
11,Max Fried,1.0,25.0,Braves,BE,386.0
11,Domingo Santana,3.0,26.0,Mariners,BE,265.0
11,J.D. Davis,1.0,26.0,Mets,BE,328.0
11,Willie Calhoun,1.0,24.0,Rangers,DL,273.0
11,Brett Gardner,1.0,35.0,Yankees,DL,415.0
12,Matt Olson,10.0,25.0,Athletics,1B,419.0
12,Keston Hiura,1.0,22.0,Brewers,2B,242.0
12,Jurickson Profar,6.0,26.0,Athletics,3B,343.0
12,Bo Bichette,1.0,21.0,Blue Jays,SS,151.0
12,Eddie Rosario,1.0,27.0,Twins,OF,485.0
12,Michael Conforto,14.0,26.0,Mets,OF,464.0
12,Nomar Mazara,6.0,24.0,Rangers,OF,299.0
12,Nick Markakis,1.0,35.0,Braves,UTIL,306.0
12,Stephen Strasburg,6.0,30.0,Nationals,SP,571.0
12,Blake Snell,6.0,26.0,Rays,SP,224.0
12,Aaron Civale,1.0,24.0,Indians,SP,121.0
12,Dylan Cease,6.0,23.0,White Sox,SP,77.0
12,Kyle Wright,6.0,23.0,Braves,BE,-18.0
12,Alex Reyes,7.0,24.0,Cardinals,BE,-13.0
12,Vladimir Guerrero Jr.,6.0,20.0,Blue Jays,BE,306.0
12,Brendan Rodgers,6.0,22.0,Rockies,BE,11.0
12,Miles Mikolas,6.0,30.0,Cardinals,BE,273.0
12,Brendan McKay,1.0,23.0,Rays,BE,77.0
12,Alex Bregman,6.0,25.0,Astros,BE,686.0
12,Dustin May,1.0,21.0,Dodgers,BE,47.0
13,Paul Goldschmidt,1.0,31.0,Cardinals,1B,462.0
13,Jose Altuve,6.0,29.0,Astros,2B,460.0
13,Matt Carpenter,6.0,33.0,Cardinals,3B,237.0
13,Marwin Gonzalez,6.0,30.0,Twins,SS,249.0
13,Lorenzo Cain,6.0,33.0,Brewers,OF,308.0
13,Paul DeJong,5.0,25.0,Cardinals,OF,412.0
13,Adam Eaton,1.0,30.0,Nationals,OF,395.0
13,Austin Riley,1.0,22.0,Braves,UTIL,164.0
13,Dallas Keuchel,6.0,31.0,Braves,SP,153.0
13,Masahiro Tanaka,6.0,30.0,Yankees,SP,312.0
13,Mike Clevinger,6.0,28.0,Indians,SP,380.0
13,German Marquez,6.0,24.0,Rockies,SP,372.0
13,Steven Matz,1.0,28.0,Mets,SP,294.0
13,Aroldis Chapman,24.0,31.0,Yankees,RP,304.0
13,Mark Melancon,2.0,34.0,- - -,RP,201.0
13,Andrelton Simmons,6.0,29.0,Angels,BE,242.0
13,Robinson Cano,12.0,36.0,Mets,BE,237.0
13,Jonathan Villar,5.0,28.0,Orioles,BE,439.0
13,Jose Urena,11.0,27.0,Marlins,BE,46.0
13,Alex Gordon,2.0,35.0,Royals,BE,342.0
13,Jon Gray,13.0,27.0,Rockies,BE,270.0
13,Hunter Pence,1.0,36.0,Rangers,BE,268.0
13,Tim Anderson,2.0,26.0,White Sox,BE,344.0
13,Shohei Ohtani,6.0,24.0,Angels,BE,276.0
13,Sonny Gray,1.0,29.0,Reds,BE,439.0
13,Aristides Aquino,1.0,25.0,Reds,DL,199.0
13,Mallex Smith,1.0,26.0,Mariners,DL,228.0
14,Jose Abreu,6.0,32.0,White Sox,1B,481.0
14,Niko Goodrum,3.0,27.0,Tigers,2B,226.0
14,Justin Turner,1.0,34.0,Dodgers,3B,411.0
14,Eduardo Escobar,1.0,30.0,Diamondbacks,SS,534.0
14,Harrison Bader,1.0,25.0,Cardinals,OF,185.0
14,Andrew McCutchen,1.0,32.0,Phillies,OF,183.0
14,Chad Pinder,1.0,27.0,Athletics,OF,191.0
14,Daniel Vogelbach,1.0,26.0,Mariners,UTIL,357.0
14,Merrill Kelly,1.0,30.0,Diamondbacks,SP,266.0
14,Mike Fiers,1.0,34.0,Athletics,SP,365.0
14,Kenta Maeda,12.0,31.0,Dodgers,SP,358.0
14,Mike Leake,2.0,31.0,- - -,SP,290.0
14,Julio Teheran,8.0,28.0,Braves,SP,282.0
14,Jose Alvarado,8.0,24.0,Rays,RP,34.0
14,Brandon Woodruff,3.0,26.0,Brewers,RP,311.0
14,Brett Anderson,1.0,31.0,Athletics,BE,257.0
14,Brandon Nimmo,15.0,26.0,Mets,BE,140.0
14,Jay Bruce,1.0,32.0,- - -,BE,254.0
14,Jonathan Loaisiga,10.0,24.0,Yankees,BE,41.0
14,Ryan Yarbrough,1.0,27.0,Rays,BE,292.0
14,Kyle Seager,6.0,31.0,Mariners,BE,306.0
14,Greg Holland,1.0,33.0,Diamondbacks,BE,94.0
14,Ketel Marte,9.0,25.0,Diamondbacks,BE,567.0
14,Josh Donaldson,22.0,33.0,Braves,BE,499.0
14,Aaron Hicks,1.0,29.0,Yankees,DL,157.0
14,Joey Lucchesi,6.0,26.0,Padres,DL,263.0
